Total Venta,Fecha de Emisión (Unix Timestamp),Empresa
800,2020-12-17 15:36:37,20
30712,2020-12-17 16:06:17,34
69700,2020-12-18 13:11:52,32
47800,2020-12-18 13:12:11,32
20670,2020-12-18 15:39:09,34
44990,2020-12-18 16:24:44,34
26250,2020-12-18 07:08:16,30
123440,2020-12-20 13:56:12,34
17100,2020-12-20 21:56:38,20
23940,2020-12-21 09:20:42,30
20290,2020-12-21 09:46:07,30
800,2020-12-22 13:03:53,20
800,2020-12-22 13:15:14,20
800,2020-12-22 18:15:06,20
13260,2020-12-22 10:38:28,30
47230,2020-12-23 00:59:02,34
15245,2020-12-23 07:44:59,30
85170,2020-12-23 22:33:08,34
100,2020-12-23 23:49:21,7
40062,2020-12-24 12:23:10,34
52230,2020-12-24 15:23:42,34
25260,2020-12-24 23:00:21,34
10770,2020-12-26 00:58:55,34
40150,2020-12-26 19:37:32,34
80470,2020-12-27 02:26:29,34
24180,2020-12-27 21:05:01,34
12980,2020-12-27 23:39:29,34
11240,2020-12-27 16:42:25,30
32857,2020-12-28 00:03:46,30
20000,2020-12-28 12:26:39,20
12590,2020-12-28 13:29:13,39
23590,2020-12-28 03:15:03,30
54380,2020-12-28 16:08:10,32
20150,2020-12-28 13:04:03,30
14000,2020-12-29 07:00:49,30
21720,2020-12-29 13:42:26,30
202230,2020-12-30 14:19:45,34
11030,2020-12-30 03:10:19,30
39762,2020-12-30 20:05:48,34
35470,2020-12-30 21:12:05,34
43530,2020-12-30 22:34:01,34
56325,2020-12-31 12:31:26,34
37800,2020-12-31 13:51:34,32
3582,2020-12-31 14:25:19,20
36775,2021-01-04 22:25:48,34
37075,2021-01-04 23:28:46,34
72560,2021-01-05 01:09:02,34
12590,2021-01-05 18:33:17,39
20150,2021-01-05 11:42:09,30
41570,2021-01-06 11:17:08,34
22130,2021-01-09 16:13:20,40
6179,2021-01-09 18:37:17,40
8040,2021-01-07 18:23:08,40
800,2021-01-08 11:28:50,25
6702,2021-01-08 14:19:59,25
9580,2021-01-08 17:45:46,34
30,2021-01-08 12:19:49,7
930,2021-01-09 11:58:13,7
12590,2021-01-10 20:14:31,39
19506,2021-01-11 10:57:23,40
53493,2021-01-12 14:34:51,34
94230,2021-01-12 15:30:02,34
7743,2021-01-12 17:31:59,20
23405,2021-01-12 17:40:16,20
75864,2021-01-13 14:51:44,34
90990,2021-01-13 17:00:02,34
104110,2021-01-14 20:27:23,34
18026,2021-01-15 02:06:35,30
6200,2021-01-15 02:06:56,30
39198,2021-01-15 15:46:22,39
16659,2021-01-15 19:54:50,39
117340,2021-01-15 20:27:51,34
12590,2021-01-16 18:24:06,39
49640,2021-01-16 21:05:01,34
43250,2021-01-16 21:39:46,34
73050,2021-01-16 22:00:27,34
12590,2021-01-17 19:25:36,39
24158,2021-01-17 19:45:03,40
183893,2021-01-17 21:45:48,34
13999,2021-01-18 03:20:41,39
25180,2021-01-18 15:36:28,39
37800,2021-01-18 17:15:31,32
13999,2021-01-18 21:36:37,39
12590,2021-01-19 01:34:24,39
9999,2021-01-19 14:29:37,39
16659,2021-01-19 15:11:31,39
103493,2021-01-19 15:09:09,34
30855,2021-01-19 03:25:35,30
42250,2021-01-19 17:51:10,34
52120,2021-01-20 14:19:44,34
21980,2021-01-20 15:59:27,34
12590,2021-01-20 18:32:18,39
25057,2021-01-20 19:07:31,40
105530,2021-01-20 21:13:43,34
69360,2021-01-20 23:30:06,34
25560,2021-01-21 03:56:05,34
15767,2021-01-21 13:40:40,20
23863,2021-01-21 13:46:16,20
184357,2021-01-22 00:27:19,34
19599,2021-01-22 03:46:06,39
27998,2021-01-22 17:05:59,39
69027,2021-01-22 15:02:15,40
57330,2021-01-22 18:26:52,34
56700,2021-01-22 18:41:24,32
26589,2021-01-24 00:34:04,39
67020,2021-01-24 22:06:23,34
21720,2021-01-25 00:29:48,30
24100,2021-01-25 00:30:59,30
37808,2021-01-25 16:23:26,34
27570,2021-01-26 01:36:44,34
23732,2021-01-26 17:58:31,34
58797,2021-01-27 03:43:31,39
22490,2021-01-26 23:56:37,30
35389,2021-01-27 16:23:49,34
1800,2021-01-27 20:09:56,7
83624,2021-01-27 19:57:16,34
81170,2021-01-28 15:55:32,20
19950,2021-01-28 22:14:24,34
110436,2021-01-29 17:01:48,32
39198,2021-01-29 20:04:35,39
19599,2021-01-31 05:23:58,39
12590,2021-02-01 17:34:21,39
21280,2021-02-01 18:31:38,34
9999,2021-02-01 21:50:44,39
13999,2021-02-01 21:55:54,39
53140,2021-02-01 22:10:38,34
19599,2021-02-02 04:32:28,39
25099,2021-02-02 12:30:50,20
10440,2021-02-02 20:50:06,39
35500,2021-02-02 06:33:29,30
28700,2021-02-02 06:36:07,30
31378,2021-02-02 06:36:59,30
10870,2021-02-02 06:37:41,30
12780,2021-02-02 06:38:59,30
22087,2021-02-02 06:39:28,30
15298,2021-02-02 06:39:53,30
16583,2021-02-02 06:40:20,30
40804,2021-02-02 06:40:51,30
19599,2021-02-03 18:40:40,39
140987,2021-02-03 19:15:29,34
13000,2021-02-03 19:21:13,20
